,producto,url,precio
0,Yerba Mate Suave PLAYADITO 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-suave-playadito-500-gr/_/A-00502007-00502007-200,302.29
1,Yerba Mate Suave Nob.Gaucha Paq 1 Kgm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-suave-nobgaucha-paq-1-kgm/_/A-00070226-00070226-200,453.40
2,NOBLEZA GAUCHA Selección 1 Kg,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-nobleza-gaucha-seleccion-1-kg/_/A-00496657-00496657-200,476.50
3,Yerba Mate Menta Y Limón KURUPI 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-menta-y-limon-kurupi-500-gr/_/A-00501862-00501862-200,360.00
4,Yerba Mate ROSAMONTE Con Palo Junior Paquete . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-rosamonte-con-palo-junior-paquete-500-gr/_/A-00261954-00261954-200,153.85
5,Yerba Mate Con Palo YEMAYPE Paq 1 Kg,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-con-palo-yemaype-paq-1-kg/_/A-00502064-00502064-200,512.55
6,Bombilla Niquelada Barrilito Mini,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bombilla-niquelada-barrilito-mini-/_/A-00177862-00177862-200,499.90
7,Yerba Natural SALUS X 1kg,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-natural-salus-x-1kg/_/A-00510314-00510314-200,509.85
8,Yerba Mate Cosecha Especi ADELGAMATE Paq 500 . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cosecha-especi-adelgamate-paq-500-grm/_/A-00501845-00501845-200,271.00
9,Yerba Mate Suave Amanda Paq 1 Kgm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-suave-amanda-paq-1-kgm/_/A-00511470-00511470-200,509.00
10,Yerba Mate VERDE FLOR Hierbas Serranas Con P . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-verde-flor-hierbas-serranas-con-palo-paquete-500-gr/_/A-00262338-00262338-200,245.30
11,Yerba Mate AMANDA Paquete 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-amanda-paquete-500-gr/_/A-00251288-00251288-200,173.10
12,Yerba Mate CRUZ DE MALTA Boldo Y Menta    Pa . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cruz-de-malta-boldo-y-menta----paquete-500-gr/_/A-00163692-00163692-200,210.45
13,NOBLEZA GAUCHA Selección 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-nobleza-gaucha-seleccion-500-gr/_/A-00496645-00496645-200,250.39
14,Yerba Mate PLAYADITO Paquete 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-playadito-paquete-500-gr/_/A-00269852-00269852-200,338.75
15,Kit Mate + Yerba TARAGUI Paquete 1 Unidad,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-kit-mate--yerba-taragui-paquete-1-unidad/_/A-00011037-00011037-200,134.30
16,Termo ATOM Extreme 1l,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-termo-atom-extreme-1l/_/A-00296802-00296802-200,1.599.90
17,Yerba Mate Siluet Plus En Cachamate Paq 500  . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-siluet-plus-en-cachamate-paq-500-grm/_/A-00250253-00250253-200,251.60
18,Yerba Mate Silueta Cbse Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-silueta-cbse-paq-500-grm/_/A-00512952-00512952-200,255.90
19,Yerba Mate CACHAMATE Hierbas Pampeanas Paque . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cachamate-hierbas-pampeanas-paquete-500-gr/_/A-00266954-00266954-200,239.90
20,Yerba Mate Edicion 1950 Amanda Paq 1 Kgm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-edicion-1950-amanda-paq-1-kgm/_/A-00510606-00510606-200,509.00
21,Yerba Mate Hierbas Serran CHAMIGO Paq 500 Gr . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-hierbas-serran-chamigo-paq-500-grm/_/A-00484016-00484016-200,194.69
22,Yerba Mate 4 Flex Taragui 1 Kg,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-4-flex-taragui-1-kg/_/A-00499474-00499474-200,393.90
23,Bombilla Color,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bombilla-color/_/A-00485332-00485332-200,204.99
24,Termo Dama Negro 1l . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-termo-dama-negro-1l---/_/A-00479839-00479839-200,1.199.90
25,Yerba Mate Premium Verde Flor Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-premium-verde-flor-paq-500-grm/_/A-00510425-00510425-200,434.50
26,Yerba Mate C/Hierb Aromaticas Cachamate Paq  . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-c-hierb-aromaticas-cachamate-paq-1-kgm/_/A-00512450-00512450-200,451.90
27,Yerba Mate Naranja CHAMIGO Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-naranja-chamigo-paq-500-grm/_/A-00484017-00484017-200,181.90
28,Yerba Mate CACHAMATE Hierbas Del Litoral Con . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cachamate-hierbas-del-litoral-con-palo-paquete-500-gr/_/A-00465082-00465082-200,239.90
29,Yerba Mate Edicion 1950 Amanda Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-edicion-1950-amanda-paq-500-grm/_/A-00510609-00510609-200,269.00
30,Yerba Mate 4 Flex MAÑANITA 1 Kg,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-4-flex-mananita-1-kg/_/A-00499475-00499475-200,541.50
31,Yerba Mate 4 Flex Sin Pal Taragui Paq 1 Kgm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-4-flex-sin-pal-taragui-paq-1-kgm/_/A-00507766-00507766-200,605.90
32,Yerba Mate C/Hierb Compuesta Cachamate Paq 1 . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-c-hierb-compuesta-cachamate-paq-1-kgm/_/A-00512443-00512443-200,451.90
33,Yerba Mate La Cumbrecita Naranja Paquete 500 . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-la-cumbrecita-naranja-paquete-500-gr/_/A-00457543-00457543-200,202.50
34,Yerba Mate Hierbas Serran Cbse Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-hierbas-serran-cbse-paq-500-grm/_/A-00512967-00512967-200,255.90
35,Repuesto Termo 1 Litro Ced LUMILAGRO,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-repuesto-termo-1-litro-ced-lumilagro/_/A-00248207-00248207-200,899.90
36,Yerba Mate CACHAMATE Mezcla De Hierbas Paque . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cachamate-mezcla-de-hierbas-paquete-500-gr/_/A-00011718-00011718-200,239.90
37,Yerba Mate Manzanilla Cruz De Mal Paq 500 Gr . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-manzanilla-cruz-de-mal-paq-500-grm/_/A-00488013-00488013-200,210.45
38,Yerba Mate C/Hierb Aromaticas Cachamate Paq  . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-c-hierb-aromaticas-cachamate-paq-500-grm/_/A-00512452-00512452-200,239.90
39,Yerba Mate 4 Flex Sin Pal Taragui Paq 500 Gr . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-4-flex-sin-pal-taragui-paq-500-grm/_/A-00507761-00507761-200,312.85
40,Yerba Mate Selecc.Especia Cachamate Paq 500  . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-seleccespecia-cachamate-paq-500-grm/_/A-00195821-00195821-200,273.15
41,Filtro Para Bombilla Marwal,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-filtro-para-bombilla-marwal-/_/A-00471946-00471946-200,99.99
42,Yerba Mate Naranja Cbse Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-naranja-cbse-paq-500-grm/_/A-00512964-00512964-200,255.90
43,Termo Personal Rojo 1l . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-termo-personal-rojo-1l---/_/A-00479846-00479846-200,999.90
44,Yerba Mate La Cumbrecita Hierbas Naturales P . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-la-cumbrecita-hierbas-naturales-paquete-500-gr/_/A-00034428-00034428-200,226.59
45,Yerba Mate Con Palo YEMAYPE 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-con-palo-yemaype-500-gr/_/A-00502065-00502065-200,301.15
46,Yerba Mate CACHAMATE Mezcla De Hierbas Paque . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cachamate-mezcla-de-hierbas-paquete-500-gr/_/A-00123983-00123983-200,225.49
47,Mate De Diseño Marwal,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mate-de-diseno-marwal-/_/A-00471953-00471953-200,429.99
